date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:54	19439/19439	---M-Z	200	added ('OK')	application/javascript	etag:W/%22580db280ad6b57229ca1a49b40b707f7%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ooi.809466cd.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/ooi.809466cd.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:54	4086/4086	---M-Z	200	added ('OK')	application/javascript	etag:W/%22dc83f9dc9ea4dc3d0e74748172b4e1a2%22	https://static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.fe7a8024.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/protectedPages.fe7a8024.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:54	34594/34594	---M-Z	200	added ('OK')	application/javascript	etag:W/%227046c0fec4915f37769f7cadfee17d77%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.e2d64c60.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/siteMembers.e2d64c60.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:55	8557/8557	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218c3c240ec1265f51fb67900a8f9eeee%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.447ae846.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.447ae846.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:55	592/592	---M-Z	200	added ('OK')	application/javascript	etag:W/%226937305f2a825b443cb2934e6c9c0368%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.2193e108.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.2193e108.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:55	15718/15718	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216ad952893848ebc4567846286b013c1%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platform.b4d39711.chunk.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/wix-thunderbolt/dist/platform.b4d39711.chunk.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:55	306802/306802	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a8cf5737c55bc904a5513887b05841fc%22	https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.1527.0/viewerScript.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/pro-gallery-santa-wrapper/1.1527.0/viewerScript.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:56	95788/95788	---M-Z	200	added ('OK')	application/javascript	etag:W/%228093da27653154a6e579b2e4f12d560c%22	https://static.parastorage.com/services/profile-card-tpa-ooi/1.214.0/viewerScript.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/profile-card-tpa-ooi/1.214.0/viewerScript.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:56	309625/309625	---M-Z	200	added ('OK')	application/javascript	etag:W/%22acb2afd6411b6c709ea92789f76b6ae4%22	https://static.parastorage.com/services/profile-card-tpa-ooi/1.214.0/ProfileCardController.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/profile-card-tpa-ooi/1.214.0/ProfileCardController.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
00:28:56	9542/9542	---M-Z	200	added ('OK')	application/javascript	etag:W/%22989680fe9c46d7ee837737830effdba8%22	https://static.parastorage.com/services/chat-worker/1.586.0/viewer-script.bundle.min.js	D:/Shirali/Shirali%20website/static.parastorage.com/services/chat-worker/1.586.0/viewer-script.bundle.min.js	(from https://shirali238.wixsite.com/portfolio)
